ID ligne,ID commande,Année de la commande,Mois de la commande,Jour de la commande,Année de la livraison,Mois de la livraison,Jour de la livraison,Mode d'expédition,ID client,Nom du client,Segment,Ville,État/Province,Pays\Région,Région de vente,ID produit,Catégorie,Sous-catégorie,Remise,Produit,Montant des ventes,Quantité,Profit
11,BR-2017-134096,2017,9,28,2017,10,2,Tarif normal,CV-13000,Cristina Vázquez,Grand public,São Paulo,São Paulo,Brésil,LATAM - Sud,OFF-AR-10000266,Fournitures de bureau,Art,none,"BIC Markers, Fluorescent",120.6,3,34.8
12,NI-2017-156335,2017,3,6,2017,3,13,Tarif normal,TR-21250,Trinidad Rubio,Grand public,Managua,Managua,Nicaragua,LATAM - Centre,OFF-BI-10000308,Fournitures de bureau,Classeurs,none,"Cardinal Binder Covers, Durable",207.6,3,95.4
13,NI-2017-156335,2017,3,6,2017,3,13,Tarif normal,TR-21250,Trinidad Rubio,Grand public,Managua,Managua,Nicaragua,LATAM - Centre,OFF-SU-10003758,Fournitures de bureau,Fournitures,none,"Fiskars Scissors, High Speed",2106.4,4,504.8
14,NI-2018-121923,2018,9,24,2018,10,1,Tarif normal,MG-18910,Mireia Garay,Bureau à domicile,Managua,Managua,Nicaragua,LATAM - Centre,OFF-EN-10002849,Fournitures de bureau,Enveloppes,none,"Kraft Interoffice Envelope, with clear poly window",801,3,376.2
15,BR-2018-135706,2018,10,18,2018,10,23,Tarif normal,HV-15625,Heriberto Valderas,Grand public,Guarapari,Espíritu Santo,Brésil,LATAM - Sud,FUR-FU-10004608,Mobilier,Meubles,none,"Advantus Door Stop, Erganomic",1326.4,4,357.6
16,BR-2018-135706,2018,10,18,2018,10,23,Tarif normal,HV-15625,Heriberto Valderas,Grand public,Guarapari,Espíritu Santo,Brésil,LATAM - Sud,OFF-BI-10002128,Fournitures de bureau,Classeurs,none,"Acco Binder Covers, Durable",129.4,1,10.2
17,PA-2017-126655,2017,6,27,2017,7,2,Tarif normal,FA-14800,Florencio Anguiano,Entreprise,San Miguelito,Panamá,Panama,LATAM - Centre,OFF-EN-10004895,Fournitures de bureau,Enveloppes,0.4,"Kraft Mailers, Security-Tint",188.4,2,-66
18,PA-2017-126655,2017,6,27,2017,7,2,Tarif normal,FA-14800,Florencio Anguiano,Entreprise,San Miguelito,Panamá,Panama,LATAM - Centre,OFF-ST-10002042,Fournitures de bureau,Stockage,0.4,"Fellowes Folders, Industrial",3082.8,7,-1491
19,PA-2017-126655,2017,6,27,2017,7,2,Tarif normal,FA-14800,Florencio Anguiano,Entreprise,San Miguelito,Panamá,Panama,LATAM - Centre,OFF-FA-10002066,Fournitures de bureau,Éléments de fixation,0.4,"OIC Clamps, Bulk Pack",401.76,2,-60.64
20,PA-2017-126655,2017,6,27,2017,7,2,Tarif normal,FA-14800,Florencio Anguiano,Entreprise,San Miguelito,Panamá,Panama,LATAM - Centre,OFF-EN-10003484,Fournitures de bureau,Enveloppes,0.4,"Ames Clasp Envelope, Recycled",87.84,3,-48.36
21,MX-2017-167759,2017,12,20,2017,12,26,Tarif normal,HS-15610,Higinio Suárez,Entreprise,San Cristóbal de Las Casas,Chiapas,Mexique,LATAM - Nord,OFF-ST-10004377,Fournitures de bureau,Stockage,0.2,"Rogers File Cart, Single Width",2734.72,4,957.12
22,CL-2017-163139,2017,10,30,2017,11,3,J+2,TG-21055,Tamara González,Grand public,Santiago,Santiago,Chili,LATAM - Sud,TEC-CO-10000500,Produits technologiques,Photocopieurs,0,"Canon Fax and Copier, High-Speed",270,1,59.4
23,CL-2017-163139,2017,10,30,2017,11,3,J+2,TG-21055,Tamara González,Grand public,Santiago,Santiago,Chili,LATAM - Sud,OFF-LA-10004020,Fournitures de bureau,Étiquettes,0,"Hon Color Coded Labels, 5000 Label Set",2070,9,662.4
24,PA-2018-119753,2018,10,3,2018,10,8,Tarif normal,DG-13195,Damiana Guardado,Entreprise,Ciudad de Panamá,Panamá,Panama,LATAM - Centre,OFF-AR-10000110,Fournitures de bureau,Art,0.4,"Binney & Smith Sketch Pad, Blue",606.6,3,-202.2
25,MX-2016-133970,2016,9,27,2016,9,30,Prioritaire,RD-20215,Ramiro Dávila,Grand public,Hermosillo,Sonora,Mexique,LATAM - Nord,OFF-ST-10003305,Fournitures de bureau,Stockage,0.4,"Rogers Box, Blue",1811.16,9,-755.64
26,MX-2018-120607,2018,6,18,2018,6,25,Tarif normal,SO-20650,Sabina Ornelas,Entreprise,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,TEC-PH-10000437,Produits technologiques,Téléphones,0.002,"Cisco Signal Booster, VoIP",3261.86,2,647.0632
27,MX-2018-120607,2018,6,18,2018,6,25,Tarif normal,SO-20650,Sabina Ornelas,Entreprise,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,FUR-BO-10003905,Mobilier,Bibliothèques,0,"Ikea Stackable Bookrack, Mobile",800,5,344
28,HN-2017-167129,2017,5,25,2017,6,1,Tarif normal,PC-20050,Plácido Calvillo,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-AR-10000594,Fournitures de bureau,Art,0.4,"Binney & Smith Highlighters, Water Color",1412.88,7,-730.52
29,HN-2017-167129,2017,5,25,2017,6,1,Tarif normal,PC-20050,Plácido Calvillo,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-BI-10001808,Fournitures de bureau,Classeurs,0.4,"Cardinal Binding Machine, Clear",218.4,4,-32.8
31,HN-2017-167129,2017,5,25,2017,6,1,Tarif normal,PC-20050,Plácido Calvillo,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,FUR-CH-10003365,Mobilier,Chaises,0.4,"Office Star Executive Leather Armchair, Adjustable",192.72,2,28.72
32,HN-2017-167129,2017,5,25,2017,6,1,Tarif normal,PC-20050,Plácido Calvillo,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-AR-10001898,Fournitures de bureau,Art,0.4,"Binney & Smith Pencil Sharpener, Fluorescent",1522.8,5,-990.2
33,HN-2017-167129,2017,5,25,2017,6,1,Tarif normal,PC-20050,Plácido Calvillo,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,TEC-CO-10004662,Produits technologiques,Photocopieurs,0.402,"Hewlett Fax Machine, Color",9417.78,8,-6017.4176
34,HN-2017-167129,2017,5,25,2017,6,1,Tarif normal,PC-20050,Plácido Calvillo,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,FUR-FU-10001200,Mobilier,Meubles,0.4,"Tenex Photo Frame, Erganomic",104.16,1,-7.04
35,MX-2018-100727,2018,5,15,2018,5,18,Prioritaire,DC-13525,David Caraballo,Entreprise,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,OFF-LA-10001154,Fournitures de bureau,Étiquettes,0,"Hon Shipping Labels, Adjustable",3007.2,14,1290.8
36,MX-2018-100727,2018,5,15,2018,5,18,Prioritaire,DC-13525,David Caraballo,Entreprise,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,OFF-FA-10002715,Fournitures de bureau,Éléments de fixation,0,"Stockwell Clamps, 12 Pack",1381.8,7,537.6
37,MX-2018-100727,2018,5,15,2018,5,18,Prioritaire,DC-13525,David Caraballo,Entreprise,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,OFF-FA-10003990,Fournitures de bureau,Éléments de fixation,0,"Stockwell Clamps, Metal",908,4,317.6
38,CU-2018-154739,2018,7,4,2018,7,7,J+2,RC-20440,Reinaldo Córdova,Entreprise,Artemisa,Artemisa,Cuba,LATAM - Caraïbes,OFF-ST-10000710,Fournitures de bureau,Stockage,0,"Smead Shelving, Blue",5293.2,3,2646.6
39,CU-2018-154739,2018,7,4,2018,7,7,J+2,RC-20440,Reinaldo Córdova,Entreprise,Artemisa,Artemisa,Cuba,LATAM - Caraïbes,OFF-PA-10001212,Fournitures de bureau,Papier,0,"Xerox Message Books, Recycled",3336,4,1067.2
40,CU-2018-154739,2018,7,4,2018,7,7,J+2,RC-20440,Reinaldo Córdova,Entreprise,Artemisa,Artemisa,Cuba,LATAM - Caraïbes,OFF-BI-10000312,Fournitures de bureau,Classeurs,0,"Cardinal Binder Covers, Economy",427.2,4,4
41,DO-2018-121398,2018,12,9,2018,12,11,J+2,AV-10825,Amelia Vega,Entreprise,La Romana,La Romana,République dominicaine,LATAM - Caraïbes,OFF-LA-10003283,Fournitures de bureau,Étiquettes,0.2,"Hon File Folder Labels, 5000 Label Set",624,3,85.8
42,MX-2017-121839,2017,6,18,2017,6,22,J+2,OP-19690,Onésimo Pagán,Grand public,Milpa Alta,Distrito Federal,Mexique,LATAM - Nord,TEC-PH-10003153,Produits technologiques,Téléphones,0,"Samsung Signal Booster, with Caller ID",3460.8,4,1556.8
43,MX-2018-142643,2018,10,29,2018,11,2,Tarif normal,LG-17815,Lorena Garay,Grand public,San Juan del Río,Querétaro,Mexique,LATAM - Nord,TEC-PH-10001014,Produits technologiques,Téléphones,0,"Cisco Speaker Phone, with Caller ID",4140,2,455.2
44,MX-2018-142643,2018,10,29,2018,11,2,Tarif normal,LG-17815,Lorena Garay,Grand public,San Juan del Río,Querétaro,Mexique,LATAM - Nord,OFF-AR-10002094,Fournitures de bureau,Art,0,"Boston Pencil Sharpener, Water Color",7223.6,2,505.6
45,MX-2018-142643,2018,10,29,2018,11,2,Tarif normal,LG-17815,Lorena Garay,Grand public,San Juan del Río,Querétaro,Mexique,LATAM - Nord,TEC-CO-10001375,Produits technologiques,Photocopieurs,0,"Brother Copy Machine, Color",563.4,3,39
46,BR-2018-164959,2018,1,17,2018,1,18,Le même jour,JC-16960,Julio Corral,Bureau à domicile,Goiânia,Goiás,Brésil,LATAM - Sud,OFF-SU-10001125,Fournitures de bureau,Fournitures,0,"Stiletto Letter Opener, High Speed",1689.6,3,405
47,DO-2016-151372,2016,4,28,2016,5,3,Tarif normal,AL-10240,Adolfo Lira,Grand public,Santo Domingo,Santo Domingo,République dominicaine,LATAM - Caraïbes,FUR-BO-10002892,Mobilier,Bibliothèques,0.2,"Safco Classic Bookcase, Mobile",1254.4,5,-0.6
48,DO-2016-151372,2016,4,28,2016,5,3,Tarif normal,AL-10240,Adolfo Lira,Grand public,Santo Domingo,Santo Domingo,République dominicaine,LATAM - Caraïbes,TEC-CO-10003471,Produits technologiques,Photocopieurs,0.202,"Hewlett Fax and Copier, Color",1534.08,2,361.2752
49,BR-2015-127145,2015,6,13,2015,6,18,Tarif normal,QG-20200,Quique Griego,Grand public,São Benedito,Ceará,Brésil,LATAM - Sud,OFF-ST-10002900,Fournitures de bureau,Stockage,0,"Smead Lockers, Wire Frame",267.6,2,74.8
50,CO-2018-100783,2018,5,6,2018,5,10,Tarif normal,MR-18205,Mafalda Rojo,Entreprise,Medellín,Antioquia,Colombie,LATAM - Sud,OFF-BI-10001754,Fournitures de bureau,Classeurs,0,"Ibico Binder Covers, Recycled",449,5,85
51,MX-2015-168662,2015,10,14,2015,10,19,J+2,IE-16255,Inmaculada Escobar,Entreprise,Toluca,Mexique,Mexique,LATAM - Nord,OFF-LA-10000709,Fournitures de bureau,Étiquettes,0,"Avery Color Coded Labels, Alphabetical",668.8,4,287.2
52,HN-2015-150987,2015,4,3,2015,4,7,J+2,DC-13480,Débora Ceja,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,TEC-MA-10003404,Produits technologiques,Machines,0.402,"Konica Card Printer, Durable",2306.73,3,-856.4748
53,HN-2015-150987,2015,4,3,2015,4,7,J+2,DC-13480,Débora Ceja,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,TEC-CO-10003362,Produits technologiques,Photocopieurs,0.402,"Sharp Fax and Copier, High-Speed",1724.39,3,-34.8072
54,HN-2015-150987,2015,4,3,2015,4,7,J+2,DC-13480,Débora Ceja,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-AR-10001533,Fournitures de bureau,Art,0.4,"Sanford Sketch Pad, Easy-Erase",6834.96,3,-797.64
55,HN-2015-150987,2015,4,3,2015,4,7,J+2,DC-13480,Débora Ceja,Bureau à domicile,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-EN-10003177,Fournitures de bureau,Enveloppes,0.4,"Kraft Interoffice Envelope, Recycled",277.2,2,41.2
56,DO-2017-156013,2017,6,1,2017,6,6,Tarif normal,CB-13030,Crístofer Barraza,Bureau à domicile,Santo Domingo,Santo Domingo,République dominicaine,LATAM - Caraïbes,OFF-BI-10001808,Fournitures de bureau,Classeurs,0.2,"Cardinal Binding Machine, Clear",218.4,3,30
57,DO-2017-156013,2017,6,1,2017,6,6,Tarif normal,CB-13030,Crístofer Barraza,Bureau à domicile,Santo Domingo,Santo Domingo,République dominicaine,LATAM - Caraïbes,OFF-PA-10002248,Fournitures de bureau,Papier,0.4,"Green Bar Memo Slips, 8.5 x 11",2005.44,4,-133.76
59,PA-2015-134950,2015,8,25,2015,8,29,Tarif normal,NH-19240,Neftalí Herrera,Grand public,Ciudad de Panamá,Panamá,Panama,LATAM - Centre,FUR-FU-10004137,Mobilier,Meubles,0.4,"Tenex Light Bulb, Erganomic",227.16,3,-117.84
60,BR-2017-152611,2017,10,12,2017,10,18,Tarif normal,CB-13030,Crístofer Barraza,Bureau à domicile,Pinheiro,Maranhão,Brésil,LATAM - Sud,TEC-PH-10004505,Produits technologiques,Téléphones,0,"Nokia Smart Phone, Full Size",3913.2,9,1447.2
61,MX-2015-155488,2015,10,22,2015,10,28,Tarif normal,CA-12220,Carina Almaraz,Grand public,La Paz,Basse-Californie du Sud,Mexique,LATAM - Nord,OFF-AR-10002145,Fournitures de bureau,Art,0,"Binney & Smith Sketch Pad, Fluorescent",635.4,1,209.6
62,BR-2018-116337,2018,5,16,2018,5,16,Le même jour,MR-18205,Mafalda Rojo,Entreprise,Lençóis Paulista,São Paulo,Brésil,LATAM - Sud,OFF-ST-10000288,Fournitures de bureau,Stockage,0,"Fellowes Lockers, Industrial",8752.2,3,1399.8
63,HN-2016-164609,2016,8,27,2016,8,29,J+2,JA-16885,Joshua Altamirano,Grand public,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-PA-10003416,Fournitures de bureau,Papier,0.4,"Enermax Note Cards, Multicolor",4376.88,3,-2480.52
64,MX-2018-165442,2018,3,14,2018,3,17,Prioritaire,AV-11530,Astrid Vega,Bureau à domicile,Ciudad Madero,Tamaulipas,Mexique,LATAM - Nord,OFF-AR-10000467,Fournitures de bureau,Art,0,"Sanford Markers, Fluorescent",686,2,267.2
65,MX-2018-165442,2018,3,14,2018,3,17,Prioritaire,AV-11530,Astrid Vega,Bureau à domicile,Ciudad Madero,Tamaulipas,Mexique,LATAM - Nord,OFF-AR-10000079,Fournitures de bureau,Art,0,"Stanley Pencil Sharpener, Fluorescent",487,5,175
66,HN-2016-104997,2016,11,6,2016,11,12,Tarif normal,NL-19300,Nelson Limón,Grand public,La Ceiba,Atlántida,Honduras,LATAM - Centre,OFF-ST-10000922,Fournitures de bureau,Stockage,0.7,"Eldon File Cart, Blue",1321.08,2,-924.92
67,CU-2015-165673,2015,6,1,2015,6,6,Tarif normal,NP-19210,Natalia Paredes,Entreprise,Guantánamo,Guantánamo,Cuba,LATAM - Caraïbes,OFF-BI-10004328,Fournitures de bureau,Classeurs,0,"Wilson Jones Binding Machine, Economy",179.6,2,57.2
68,CU-2015-165673,2015,6,1,2015,6,6,Tarif normal,NP-19210,Natalia Paredes,Entreprise,Guantánamo,Guantánamo,Cuba,LATAM - Caraïbes,TEC-PH-10000309,Produits technologiques,Téléphones,0.002,"Motorola Audio Dock, with Caller ID",6356.26,5,2661.262
69,CO-2017-164021,2017,7,24,2017,7,30,Tarif normal,AR-11140,Antonio Rocha,Grand public,Bello,Antioquia,Colombie,LATAM - Sud,OFF-PA-10003455,Fournitures de bureau,Papier,0,"Xerox Cards & Envelopes, Premium",8746.8,3,4110.6
70,CO-2017-164021,2017,7,24,2017,7,30,Tarif normal,AR-11140,Antonio Rocha,Grand public,Bello,Antioquia,Colombie,LATAM - Sud,OFF-ST-10002042,Fournitures de bureau,Stockage,0,"Fellowes Folders, Industrial",759.6,6,379.2
71,BR-2018-120194,2018,9,12,2018,9,19,Tarif normal,VA-21445,Valentina Acuna,Entreprise,Abreu e Lima,Pernambuco,Brésil,LATAM - Sud,OFF-ST-10000624,Fournitures de bureau,Stockage,0.2,"Eldon File Cart, Single Width",9282.56,2,-812.24
72,DO-2015-132388,2015,2,24,2015,2,28,Tarif normal,EA-14470,Ezequiel Acevedo,Grand public,Santo Domingo,Santo Domingo,République dominicaine,LATAM - Caraïbes,TEC-PH-10001066,Produits technologiques,Téléphones,0.7,"Apple Smart Phone, Cordless",1074.48,2,-1217.92
73,MX-2016-156720,2016,2,18,2016,2,23,Tarif normal,EP-14215,Evaristo Pérez,Entreprise,Monterrey,Nuevo León,Mexique,LATAM - Nord,OFF-LA-10001375,Fournitures de bureau,Étiquettes,0,"Smead Removable Labels, 5000 Label Set",285,1,122.4
74,MX-2016-156720,2016,2,18,2016,2,23,Tarif normal,EP-14215,Evaristo Pérez,Entreprise,Monterrey,Nuevo León,Mexique,LATAM - Nord,TEC-CO-10002269,Produits technologiques,Photocopieurs,0,"Brother Ink, Color",980,5,205
75,MX-2016-156720,2016,2,18,2016,2,23,Tarif normal,EP-14215,Evaristo Pérez,Entreprise,Monterrey,Nuevo León,Mexique,LATAM - Nord,OFF-AR-10001228,Fournitures de bureau,Art,0,"Stanley Markers, Water Color",89.6,2,39.2
76,MX-2016-156720,2016,2,18,2016,2,23,Tarif normal,EP-14215,Evaristo Pérez,Entreprise,Monterrey,Nuevo León,Mexique,LATAM - Nord,OFF-EN-10002013,Fournitures de bureau,Enveloppes,0,"Kraft Business Envelopes, Security-Tint",1357,5,312
77,PE-2018-157630,2018,6,25,2018,6,29,Tarif normal,JS-16915,Josué Solórzano,Grand public,Lima,Lima (city),Pérou,LATAM - Sud,OFF-LA-10003591,Fournitures de bureau,Étiquettes,0.4,"Smead Removable Labels, Laser Printer Compatible",185.28,2,-83.52
78,PE-2018-157630,2018,6,25,2018,6,29,Tarif normal,JS-16915,Josué Solórzano,Grand public,Lima,Lima (city),Pérou,LATAM - Sud,FUR-CH-10001429,Mobilier,Chaises,0.4,"SAFCO Executive Leather Armchair, Adjustable",1587.6,2,158.4
79,PE-2018-157630,2018,6,25,2018,6,29,Tarif normal,JS-16915,Josué Solórzano,Grand public,Lima,Lima (city),Pérou,LATAM - Sud,OFF-FA-10004424,Fournitures de bureau,Éléments de fixation,0.4,"Advantus Clamps, 12 Pack",1217.16,7,-20.44
80,PA-2015-119935,2015,6,14,2015,6,18,Tarif normal,IR-16465,Isaías Rosales,Grand public,San Miguelito,Panamá,Panama,LATAM - Centre,OFF-ST-10001222,Fournitures de bureau,Stockage,0.4,"Eldon Shelving, Single Width",227.88,3,-7.92
81,PA-2015-119935,2015,6,14,2015,6,18,Tarif normal,IR-16465,Isaías Rosales,Grand public,San Miguelito,Panamá,Panama,LATAM - Centre,OFF-ST-10004577,Fournitures de bureau,Stockage,0.4,"Tenex Shelving, Wire Frame",3230.64,14,-1240.96
82,PA-2015-119935,2015,6,14,2015,6,18,Tarif normal,IR-16465,Isaías Rosales,Grand public,San Miguelito,Panamá,Panama,LATAM - Centre,TEC-CO-10001191,Produits technologiques,Photocopieurs,0.4,"Sharp Wireless Fax, High-Speed",1375.2,3,-229.2
83,PA-2015-119935,2015,6,14,2015,6,18,Tarif normal,IR-16465,Isaías Rosales,Grand public,San Miguelito,Panamá,Panama,LATAM - Centre,FUR-CH-10004792,Mobilier,Chaises,0.4,"SAFCO Swivel Stool, Set of Two",395.4,5,-198.6
84,MX-2017-119970,2017,6,26,2017,7,2,Tarif normal,MM-18220,Maya Méndez,Grand public,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,FUR-BO-10000786,Mobilier,Bibliothèques,0,"Sauder Stackable Bookrack, Pine",2639.2,2,52.4
85,MX-2017-119970,2017,6,26,2017,7,2,Tarif normal,MM-18220,Maya Méndez,Grand public,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,OFF-LA-10003283,Fournitures de bureau,Étiquettes,0,"Harbour Creations Removable Labels, Adjustable",1443,5,360
86,MX-2018-165925,2018,1,23,2018,1,28,Tarif normal,CA-12355,Camilo Almaraz,Grand public,Tuxtla Gutiérrez,Chiapas,Mexique,LATAM - Nord,OFF-BI-10003642,Fournitures de bureau,Classeurs,0,"Wilson Jones Binder, Economy",367.2,3,102.6
87,MX-2018-137365,2018,6,18,2018,6,23,Tarif normal,MC-18760,Mauro Cortés,Grand public,Piedras Negras,Coahuila,Mexique,LATAM - Nord,OFF-BI-10001833,Fournitures de bureau,Classeurs,0,"Ibico Hole Reinforcements, Recycled",769.6,8,99.2
88,MX-2018-137365,2018,6,18,2018,6,23,Tarif normal,MC-18760,Mauro Cortés,Grand public,Piedras Negras,Coahuila,Mexique,LATAM - Nord,OFF-ST-10001547,Fournitures de bureau,Stockage,0.4,"Rogers Lockers, Industrial",390.24,2,-19.76
89,MX-2016-158981,2016,12,29,2017,1,2,Tarif normal,SA-20845,Samuel Alemán,Grand public,Tijuana,Basse-Californie,Mexique,LATAM - Nord,TEC-CO-10002981,Produits technologiques,Photocopieurs,0,"HP Wireless Fax, High-Speed",1426.8,3,327.6
90,MX-2016-158981,2016,12,29,2017,1,2,Tarif normal,SA-20845,Samuel Alemán,Grand public,Tijuana,Basse-Californie,Mexique,LATAM - Nord,OFF-LA-10004727,Fournitures de bureau,Étiquettes,0.2,"Hon File Folder Labels, Laser Printer Compatible",5820,3,2182.2
91,MX-2016-158981,2016,12,29,2017,1,2,Tarif normal,SA-20845,Samuel Alemán,Grand public,Tijuana,Basse-Californie,Mexique,LATAM - Nord,OFF-AR-10000980,Fournitures de bureau,Art,0,"Sanford Pencil Sharpener, Water Color",419.4,9,0
92,MX-2016-158981,2016,12,29,2017,1,2,Tarif normal,SA-20845,Samuel Alemán,Grand public,Tijuana,Basse-Californie,Mexique,LATAM - Nord,OFF-EN-10003936,Fournitures de bureau,Enveloppes,0,"Cameo Peel and Seal, with clear poly window",2550,10,918
93,MX-2017-169292,2017,4,24,2017,4,28,Tarif normal,AC-10780,Amadeo Collado,Entreprise,Chihuahua,Chihuahua,Mexique,LATAM - Nord,OFF-BI-10003705,Fournitures de bureau,Classeurs,0,"Wilson Jones Binding Machine, Recycled",589,5,153
94,MX-2017-169292,2017,4,24,2017,4,28,Tarif normal,AC-10780,Amadeo Collado,Entreprise,Chihuahua,Chihuahua,Mexique,LATAM - Nord,OFF-EN-10002065,Fournitures de bureau,Enveloppes,0,"Ames Clasp Envelope, Set of 50",883,5,88
95,MX-2017-169292,2017,4,24,2017,4,28,Tarif normal,AC-10780,Amadeo Collado,Entreprise,Chihuahua,Chihuahua,Mexique,LATAM - Nord,OFF-BI-10001544,Fournitures de bureau,Classeurs,0,"Wilson Jones Hole Reinforcements, Clear",176.8,2,22.8
96,BR-2015-112319,2015,4,20,2015,4,26,Tarif normal,IR-16465,Isaías Rosales,Grand public,Natal,Río Grande del Norte,Brésil,LATAM - Sud,OFF-ST-10000486,Fournitures de bureau,Stockage,0,"Rogers Trays, Industrial",5759.6,7,1208.2
97,BR-2015-112319,2015,4,20,2015,4,26,Tarif normal,IR-16465,Isaías Rosales,Grand public,Natal,Río Grande del Norte,Brésil,LATAM - Sud,TEC-AC-10003904,Produits technologiques,Accessoires,0,"SanDisk Keyboard, USB",553.6,2,16.4
98,NI-2015-149986,2015,10,22,2015,10,26,Tarif normal,AM-10075,Alberto Márquez,Entreprise,Managua,Managua,Nicaragua,LATAM - Centre,FUR-BO-10002632,Mobilier,Bibliothèques,0,"Sauder Corner Shelving, Pine",960,3,48
99,DO-2017-125892,2017,8,9,2017,8,11,Prioritaire,MR-18400,Manila Roque,Grand public,Santo Domingo,Santo Domingo,République dominicaine,LATAM - Caraïbes,OFF-ST-10004597,Fournitures de bureau,Stockage,0.2,"Rogers File Cart, Blue",923.04,3,-35.16
100,DO-2017-125892,2017,8,9,2017,8,11,Prioritaire,MR-18400,Manila Roque,Grand public,Santo Domingo,Santo Domingo,République dominicaine,LATAM - Caraïbes,OFF-BI-10002570,Fournitures de bureau,Classeurs,0.2,"Acco Binder Covers, Clear",849.6,6,-54
101,GT-2017-158533,2017,12,14,2017,12,19,J+2,HH-15850,Higinia Horta,Grand public,Mixco,Guatemala,Guatemala,LATAM - Centre,TEC-AC-10004791,Produits technologiques,Accessoires,0,"Belkin Keyboard, USB",4946.4,3,1978.2
